"filename", "language", "TypeScript React", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\nioh\document\hotel_setting_app\src\components\menus\ImageSelector.tsx", "TypeScript React", 39, 0, 6, 45
"\\wsl.localhost\Ubuntu\home\nioh\document\hotel_setting_app\src\components\menus\MenuCard.tsx", "TypeScript React", 92, 1, 7, 100
"\\wsl.localhost\Ubuntu\home\nioh\document\hotel_setting_app\src\components\menus\MenuDeleteModal.tsx", "TypeScript React", 30, 0, 4, 34
"\\wsl.localhost\Ubuntu\home\nioh\document\hotel_setting_app\src\components\menus\MenuEditForm.tsx", "TypeScript React", 53, 0, 4, 57
"\\wsl.localhost\Ubuntu\home\nioh\document\hotel_setting_app\src\components\menus\MenuEditModal.tsx", "TypeScript React", 52, 1, 7, 60
"\\wsl.localhost\Ubuntu\home\nioh\document\hotel_setting_app\src\components\menus\MenuImage.tsx", "TypeScript React", 51, 0, 6, 57
"\\wsl.localhost\Ubuntu\home\nioh\document\hotel_setting_app\src\components\menus\Menus.tsx", "TypeScript React", 32, 0, 5, 37
"\\wsl.localhost\Ubuntu\home\nioh\document\hotel_setting_app\src\components\menus\ReorderMenus.tsx", "TypeScript React", 37, 0, 3, 40
"\\wsl.localhost\Ubuntu\home\nioh\document\hotel_setting_app\src\pages\menus.tsx", "TypeScript React", 1, 0, 1, 2
"Total", "-", 387, 2, 43, 432
